# Iteration 23713, is_converged_ 1
# Heat flux: -0.719212
0 0 1
0 0.01 1
0 0.02 1
0 0.03 1
0 0.04 1
0 0.05 1
0 0.06 1
0 0.07 1
0 0.08 1
0 0.09 1
0 0.1 1
0 0.11 1
0 0.12 1
0 0.13 1
0 0.14 1
0 0.15 1
0 0.16 1
0 0.17 1
0 0.18 1
0 0.19 1
0 0.2 1
0 0.21 1
0 0.22 1
0 0.23 1
0 0.24 1
0 0.25 1
0 0.26 1
0 0.27 1
0 0.28 1
0 0.29 1
0 0.3 1
0 0.31 1
0 0.32 1
0 0.33 1
0 0.34 1
0 0.35 1
0 0.36 1
0 0.37 1
0 0.38 1
0 0.39 1
0 0.4 1
0 0.41 1
0 0.42 1
0 0.43 1
0 0.44 1
0 0.45 1
0 0.46 1
0 0.47 1
0 0.48 1
0 0.49 1
0 0.5 1
0 0.51 1
0 0.52 1
0 0.53 1
0 0.54 1
0 0.55 1
0 0.56 1
0 0.57 1
0 0.58 1
0 0.59 1
0 0.6 1
0 0.61 1
0 0.62 1
0 0.63 1
0 0.64 1
0 0.65 1
0 0.66 1
0 0.67 1
0 0.68 1
0 0.69 1
0 0.7 1
0 0.71 1
0 0.72 1
0 0.73 1
0 0.74 1
0 0.75 1
0 0.76 1
0 0.77 1
0 0.78 1
0 0.79 1
0 0.8 1
0 0.81 1
0 0.82 1
0 0.83 1
0 0.84 1
0 0.85 1
0 0.86 1
0 0.87 1
0 0.88 1
0 0.89 1
0 0.9 1
0 0.91 1
0 0.92 1
0 0.93 1
0 0.94 1
0 0.95 1
0 0.96 1
0 0.97 1
0 0.98 1
0 0.99 1

0.01 0 0.992534
0.01 0.01 0.992593
0.01 0.02 0.992652
0.01 0.03 0.992712
0.01 0.04 0.992773
0.01 0.05 0.992834
0.01 0.06 0.992894
0.01 0.07 0.992954
0.01 0.08 0.993014
0.01 0.09 0.993072
0.01 0.1 0.99313
0.01 0.11 0.993186
0.01 0.12 0.993241
0.01 0.13 0.993293
0.01 0.14 0.993344
0.01 0.15 0.993393
0.01 0.16 0.993439
0.01 0.17 0.993482
0.01 0.18 0.993523
0.01 0.19 0.993561
0.01 0.2 0.993595
0.01 0.21 0.993627
0.01 0.22 0.993655
0.01 0.23 0.99368
0.01 0.24 0.993701
0.01 0.25 0.993719
0.01 0.26 0.993733
0.01 0.27 0.993743
0.01 0.28 0.99375
0.01 0.29 0.993752
0.01 0.3 0.993751
0.01 0.31 0.993747
0.01 0.32 0.993738
0.01 0.33 0.993726
0.01 0.34 0.99371
0.01 0.35 0.99369
0.01 0.36 0.993667
0.01 0.37 0.993641
0.01 0.38 0.993611
0.01 0.39 0.993578
0.01 0.4 0.993541
0.01 0.41 0.993502
0.01 0.42 0.99346
0.01 0.43 0.993415
0.01 0.44 0.993367
0.01 0.45 0.993318
0.01 0.46 0.993266
0.01 0.47 0.993212
0.01 0.48 0.993156
0.01 0.49 0.993099
0.01 0.5 0.993041
0.01 0.51 0.992982
0.01 0.52 0.992922
0.01 0.53 0.992861
0.01 0.54 0.992801
0.01 0.55 0.99274
0.01 0.56 0.992679
0.01 0.57 0.992619
0.01 0.58 0.99256
0.01 0.59 0.992502
0.01 0.6 0.992445
0.01 0.61 0.99239
0.01 0.62 0.992336
0.01 0.63 0.992284
0.01 0.64 0.992235
0.01 0.65 0.992188
0.01 0.66 0.992143
0.01 0.67 0.992101
0.01 0.68 0.992063
