# Iteration 25321, is_converged_ 1
# Heat flux: -0.59426
0 0 1
0 0.01 1
0 0.02 1
0 0.03 1
0 0.04 1
0 0.05 1
0 0.06 1
0 0.07 1
0 0.08 1
0 0.09 1
0 0.1 1
0 0.11 1
0 0.12 1
0 0.13 1
0 0.14 1
0 0.15 1
0 0.16 1
0 0.17 1
0 0.18 1
0 0.19 1
0 0.2 1
0 0.21 1
0 0.22 1
0 0.23 1
0 0.24 1
0 0.25 1
0 0.26 1
0 0.27 1
0 0.28 1
0 0.29 1
0 0.3 1
0 0.31 1
0 0.32 1
0 0.33 1
0 0.34 1
0 0.35 1
0 0.36 1
0 0.37 1
0 0.38 1
0 0.39 1
0 0.4 1
0 0.41 1
0 0.42 1
0 0.43 1
0 0.44 1
0 0.45 1
0 0.46 1
0 0.47 1
0 0.48 1
0 0.49 1
0 0.5 1
0 0.51 1
0 0.52 1
0 0.53 1
0 0.54 1
0 0.55 1
0 0.56 1
0 0.57 1
0 0.58 1
0 0.59 1
0 0.6 1
0 0.61 1
0 0.62 1
0 0.63 1
0 0.64 1
0 0.65 1
0 0.66 1
0 0.67 1
0 0.68 1
0 0.69 1
0 0.7 1
0 0.71 1
0 0.72 1
0 0.73 1
0 0.74 1
0 0.75 1
0 0.76 1
0 0.77 1
0 0.78 1
0 0.79 1
0 0.8 1
0 0.81 1
0 0.82 1
0 0.83 1
0 0.84 1
0 0.85 1
0 0.86 1
0 0.87 1
0 0.88 1
0 0.89 1
0 0.9 1
0 0.91 1
0 0.92 1
0 0.93 1
0 0.94 1
0 0.95 1
0 0.96 1
0 0.97 1
0 0.98 1
0 0.99 1

0.01 0 0.997252
0.01 0.01 0.997252
0.01 0.02 0.997249
0.01 0.03 0.997244
0.01 0.04 0.997235
0.01 0.05 0.997224
0.01 0.06 0.99721
0.01 0.07 0.997194
0.01 0.08 0.997174
0.01 0.09 0.997152
0.01 0.1 0.997127
0.01 0.11 0.997099
0.01 0.12 0.997068
0.01 0.13 0.997034
0.01 0.14 0.996998
0.01 0.15 0.996959
0.01 0.16 0.996917
0.01 0.17 0.996872
0.01 0.18 0.996824
0.01 0.19 0.996773
0.01 0.2 0.99672
0.01 0.21 0.996663
0.01 0.22 0.996604
0.01 0.23 0.996542
0.01 0.24 0.996477
0.01 0.25 0.996409
0.01 0.26 0.996338
0.01 0.27 0.996265
0.01 0.28 0.996189
0.01 0.29 0.99611
0.01 0.3 0.996028
0.01 0.31 0.995943
0.01 0.32 0.995856
0.01 0.33 0.995767
0.01 0.34 0.995674
0.01 0.35 0.99558
0.01 0.36 0.995483
0.01 0.37 0.995384
0.01 0.38 0.995282
0.01 0.39 0.995178
0.01 0.4 0.995073
0.01 0.41 0.994965
0.01 0.42 0.994856
0.01 0.43 0.994745
0.01 0.44 0.994633
0.01 0.45 0.99452
0.01 0.46 0.994405
0.01 0.47 0.994289
0.01 0.48 0.994173
0.01 0.49 0.994056
0.01 0.5 0.993938
0.01 0.51 0.993821
0.01 0.52 0.993703
0.01 0.53 0.993585
0.01 0.54 0.993468
0.01 0.55 0.993352
0.01 0.56 0.993236
0.01 0.57 0.993121
0.01 0.58 0.993008
0.01 0.59 0.992895
0.01 0.6 0.992785
0.01 0.61 0.992676
0.01 0.62 0.992569
0.01 0.63 0.992464
0.01 0.64 0.992362
0.01 0.65 0.992261
0.01 0.66 0.992164
0.01 0.67 0.992068
0.01 0.68 0.991976
